symbol,baseAsset,quoteAsset,status,exchange,type,trading_type,asset_id,decimals,szDecimals,priceDecimals,isLinear
PURR,PURR,USD,TRADING,hyperliquid,perpetual,永续合约,152,0,0,0,True
PNUT,PNUT,USD,TRADING,hyperliquid,perpetual,永续合约,153,0,1,0,True
XLM,XLM,USD,TRADING,hyperliquid,perpetual,永续合约,154,0,0,0,True
CHILLGUY,CHILLGUY,USD,TRADING,hyperliquid,perpetual,永续合约,155,0,0,0,True
SAND,SAND,USD,TRADING,hyperliquid,perpetual,永续合约,156,0,0,0,True
IOTA,IOTA,USD,TRADING,hyperliquid,perpetual,永续合约,157,0,0,0,True
ALGO,ALGO,USD,TRADING,hyperliquid,perpetual,永续合约,158,0,0,0,True
HYPE,HYPE,USD,TRADING,hyperliquid,perpetual,永续合约,159,0,2,0,True
ME,ME,USD,TRADING,hyperliquid,perpetual,永续合约,160,0,1,0,True
MOVE,MOVE,USD,TRADING,hyperliquid,perpetual,永续合约,161,0,0,0,True
VIRTUAL,VIRTUAL,USD,TRADING,hyperliquid,perpetual,永续合约,162,0,1,0,True
PENGU,PENGU,USD,TRADING,hyperliquid,perpetual,永续合约,163,0,0,0,True
USUAL,USUAL,USD,TRADING,hyperliquid,perpetual,永续合约,164,0,1,0,True
FARTCOIN,FARTCOIN,USD,TRADING,hyperliquid,perpetual,永续合约,165,0,1,0,True
AI16Z,AI16Z,USD,TRADING,hyperliquid,perpetual,永续合约,166,0,1,0,True
AIXBT,AIXBT,USD,TRADING,hyperliquid,perpetual,永续合约,167,0,0,0,True
ZEREBRO,ZEREBRO,USD,TRADING,hyperliquid,perpetual,永续合约,168,0,0,0,True
BIO,BIO,USD,TRADING,hyperliquid,perpetual,永续合约,169,0,0,0,True
GRIFFAIN,GRIFFAIN,USD,TRADING,hyperliquid,perpetual,永续合约,170,0,0,0,True
SPX,SPX,USD,TRADING,hyperliquid,perpetual,永续合约,171,0,1,0,True
S,S,USD,TRADING,hyperliquid,perpetual,永续合约,172,0,0,0,True
MORPHO,MORPHO,USD,TRADING,hyperliquid,perpetual,永续合约,173,0,1,0,True
TRUMP,TRUMP,USD,TRADING,hyperliquid,perpetual,永续合约,174,0,1,0,True
MELANIA,MELANIA,USD,TRADING,hyperliquid,perpetual,永续合约,175,0,1,0,True
ANIME,ANIME,USD,TRADING,hyperliquid,perpetual,永续合约,176,0,0,0,True
VINE,VINE,USD,TRADING,hyperliquid,perpetual,永续合约,177,0,0,0,True
VVV,VVV,USD,TRADING,hyperliquid,perpetual,永续合约,178,0,2,0,True
JELLY,JELLY,USD,TRADING,hyperliquid,perpetual,永续合约,179,0,0,0,True
BERA,BERA,USD,TRADING,hyperliquid,perpetual,永续合约,180,0,1,0,True
TST,TST,USD,TRADING,hyperliquid,perpetual,永续合约,181,0,0,0,True
LAYER,LAYER,USD,TRADING,hyperliquid,perpetual,永续合约,182,0,0,0,True
IP,IP,USD,TRADING,hyperliquid,perpetual,永续合约,183,0,1,0,True
OM,OM,USD,TRADING,hyperliquid,perpetual,永续合约,184,0,1,0,True
KAITO,KAITO,USD,TRADING,hyperliquid,perpetual,永续合约,185,0,0,0,True
NIL,NIL,USD,TRADING,hyperliquid,perpetual,永续合约,186,0,0,0,True
PAXG,PAXG,USD,TRADING,hyperliquid,perpetual,永续合约,187,0,3,0,True
PROMPT,PROMPT,USD,TRADING,hyperliquid,perpetual,永续合约,188,0,0,0,True
BABY,BABY,USD,TRADING,hyperliquid,perpetual,永续合约,189,0,0,0,True
WCT,WCT,USD,TRADING,hyperliquid,perpetual,永续合约,190,0,0,0,True
HYPER,HYPER,USD,TRADING,hyperliquid,perpetual,永续合约,191,0,0,0,True
ZORA,ZORA,USD,TRADING,hyperliquid,perpetual,永续合约,192,0,0,0,True
INIT,INIT,USD,TRADING,hyperliquid,perpetual,永续合约,193,0,0,0,True
DOOD,DOOD,USD,TRADING,hyperliquid,perpetual,永续合约,194,0,0,0,True
LAUNCHCOIN,LAUNCHCOIN,USD,TRADING,hyperliquid,perpetual,永续合约,195,0,0,0,True
NXPC,NXPC,USD,TRADING,hyperliquid,perpetual,永续合约,196,0,0,0,True
SOPH,SOPH,USD,TRADING,hyperliquid,perpetual,永续合约,197,0,0,0,True
RESOLV,RESOLV,USD,TRADING,hyperliquid,perpetual,永续合约,198,0,0,0,True
SYRUP,SYRUP,USD,TRADING,hyperliquid,perpetual,永续合约,199,0,0,0,True
PUMP,PUMP,USD,TRADING,hyperliquid,perpetual,永续合约,200,0,0,0,True
