total_exchanges,baseCurrency,coinbase_spot,coinbase_futures,okx_spot,okx_futures,binance_spot,binance_futures,upbit_spot,upbit_futures,hyperliquid_spot,hyperliquid_futures
5,POL,1,0,1,0,1,1,1,0,0,1
2,DOGS,0,0,1,0,1,1,0,0,0,0
3,TON,0,0,1,0,1,1,0,0,0,1
5,RENDER,1,0,1,0,1,1,1,0,0,1
3,BANANA,0,0,1,0,1,1,0,0,0,1
4,G,1,0,1,0,1,1,1,0,0,0
5,ZRO,1,0,1,0,1,1,1,0,0,1
2,LISTA,0,0,0,0,1,1,0,0,0,1
4,ZK,1,0,1,0,1,1,0,0,0,1
4,IO,1,0,0,0,1,1,1,0,0,1
3,NOT,0,0,1,0,1,1,0,0,0,1
3,REZ,1,0,0,0,1,1,0,0,0,1
4,OMNI,1,0,0,0,1,1,1,0,0,1
3,TAO,1,0,0,0,1,1,0,0,0,1
2,SAGA,0,0,0,0,1,1,0,0,0,1
4,TNSR,1,0,1,0,1,1,0,0,0,1
5,W,1,0,1,0,1,1,1,0,0,1
4,ENA,1,0,0,0,1,1,1,0,0,1
4,ETHFI,1,0,1,0,1,1,0,0,0,1
3,BOME,0,0,1,0,1,1,0,0,0,1
2,AEVO,0,0,1,0,1,1,0,0,0,0
3,METIS,1,0,1,0,1,1,0,0,0,0
4,WIF,1,0,1,0,1,1,0,0,0,1
3,AXL,1,0,0,0,1,1,1,0,0,0
4,STRK,1,0,1,0,1,1,0,0,0,1
3,PIXEL,0,0,1,0,1,1,0,0,0,1
2,DYM,0,0,0,0,1,1,0,0,0,1
2,RONIN,1,0,0,0,1,1,0,0,0,0
5,PYTH,1,0,1,0,1,1,1,0,0,1
4,JUP,0,0,1,0,1,1,1,0,0,1
4,ALT,1,0,0,0,1,1,1,0,0,1
2,MANTA,0,0,0,0,1,1,0,0,0,1
2,XAI,0,0,0,0,1,1,0,0,0,1
2,AI,0,0,0,0,1,1,0,0,0,1
3,ACE,0,0,1,0,1,1,0,0,0,1
4,BONK,1,0,1,0,1,0,1,0,0,0
5,JTO,1,0,1,0,1,1,1,0,0,1
5,BLUR,1,0,1,0,1,1,1,0,0,1
3,ORDI,0,0,1,0,1,1,0,0,0,1
3,MEME,0,0,1,0,1,1,0,0,0,1
5,TIA,1,0,1,0,1,1,1,0,0,1
2,NTRN,0,0,0,0,1,1,0,0,0,1
2,IQ,0,0,0,0,1,0,1,0,0,0
3,ARK,0,0,0,0,1,1,1,0,0,1
3,CYBER,0,0,0,0,1,1,1,0,0,1
4,SEI,1,0,0,0,1,1,1,0,0,1
4,WLD,1,0,1,0,1,1,0,0,0,1
4,ARKM,1,0,1,0,1,1,1,0,0,0
5,PENDLE,1,0,1,0,1,1,1,0,0,1
2,MAV,0,0,0,0,1,1,0,0,0,1
3,FLOKI,1,0,1,0,1,0,0,0,0,0
4,PEPE,1,0,1,0,1,0,1,0,0,0
5,SUI,1,0,1,0,1,1,1,0,0,1
3,RDNT,0,0,1,0,1,1,0,0,0,1
3,USTC,0,0,1,0,1,1,0,0,0,1
5,ARB,1,0,1,0,1,1,1,0,0,1
3,ID,0,0,1,0,1,1,1,0,0,0
2,QKC,0,0,0,0,1,0,1,0,0,0
2,PROM,0,0,0,0,1,1,1,0,0,0
3,LQTY,1,0,1,0,1,1,0,0,0,0
3,RPL,1,0,1,0,1,1,0,0,0,0
4,MAGIC,1,0,1,0,1,1,1,0,0,0
2,HFT,1,0,0,0,1,1,0,0,0,0
2,OSMO,1,0,0,0,1,0,0,0,0,0
5,APT,1,0,1,0,1,1,1,0,0,1
3,POLYX,0,0,0,0,1,1,1,0,0,1
3,GMX,0,0,1,0,1,1,0,0,0,1
2,LUNC,0,0,1,0,1,0,0,0,0,0
4,STG,1,0,0,0,1,1,1,0,0,1
5,OP,1,0,1,0,1,1,1,0,0,1
4,LDO,1,0,1,0,1,1,0,0,0,1
2,REI,0,0,0,0,1,1,1,0,0,0
5,APE,1,0,1,0,1,1,1,0,0,1
2,KDA,0,0,1,0,1,1,0,0,0,0
5,GMT,1,0,1,0,1,1,1,0,0,1
3,ASTR,0,0,1,0,1,1,1,0,0,0
4,T,1,0,1,0,1,1,1,0,0,0
2,WOO,0,0,1,0,1,1,0,0,0,0
3,ICX,0,0,1,0,1,1,1,0,0,0
2,DENT,0,0,0,0,1,1,1,0,0,0
2,ACA,0,0,1,0,1,0,0,0,0,0
4,API3,1,0,1,0,1,1,1,0,0,0
5,RSR,1,0,1,0,1,1,1,0,0,1
3,GLMR,0,0,1,0,1,0,1,0,0,0
3,NKN,1,0,0,0,1,1,1,0,0,0
5,IMX,1,0,1,0,1,1,1,0,0,1
3,ONT,0,0,1,0,1,1,1,0,0,0
3,ACH,1,0,1,0,1,1,0,0,0,0
2,PSG,0,0,0,0,1,0,1,0,0,0
2,OCEAN,1,0,0,0,0,0,1,0,0,0
2,BTT,0,0,1,0,0,0,1,0,0,0
2,ONG,0,0,0,0,1,1,1,0,0,0
2,JOE,0,0,1,0,1,1,0,0,0,0
2,SPELL,1,0,0,0,1,1,0,0,0,0
3,PEOPLE,0,0,1,0,1,1,0,0,0,1
3,CVX,1,0,1,0,1,1,0,0,0,0
2,HIGH,1,0,0,0,1,1,0,0,0,0
2,ATM,0,0,0,0,1,0,1,0,0,0
2,VOXEL,1,0,0,0,1,1,0,0,0,0
4,NMR,1,0,1,0,1,1,1,0,0,0
3,FXS,0,0,1,0,1,1,0,0,0,1
3,BICO,1,0,1,0,1,1,0,0,0,0
2,JITOSOL,1,0,1,0,0,0,0,0,0,0
2,ALCX,1,0,0,0,1,0,0,0,0,0
2,XEC,0,0,0,0,1,0,1,0,0,0
2,PYR,1,0,0,0,1,0,0,0,0,0
2,AMP,1,0,0,0,1,0,0,0,0,0
3,JASMY,1,0,0,0,1,1,1,0,0,0
4,YGG,0,0,1,0,1,1,1,0,0,1
2,QI,1,0,0,0,1,0,0,0,0,0
5,ENS,1,0,1,0,1,1,1,0,0,1
3,CITY,0,0,1,0,1,0,1,0,0,0
2,MOVR,0,0,1,0,1,1,0,0,0,0
2,SSV,0,0,1,0,1,1,0,0,0,0
3,RLC,1,0,0,0,1,1,1,0,0,0
2,RARE,1,0,0,0,1,1,0,0,0,0
3,RAD,1,0,0,0,1,0,1,0,0,0
2,NCT,1,0,0,0,0,0,1,0,0,0
4,AGLD,1,0,1,0,1,1,1,0,0,0
2,FIDA,1,0,0,0,1,1,0,0,0,0
5,BNT,1,0,1,0,1,1,1,0,0,1
2,MBL,0,0,0,0,1,0,1,0,0,0
4,ILV,1,0,1,0,1,1,0,0,0,1
3,GALA,0,0,1,0,1,1,0,0,0,1
2,USDP,0,0,0,0,1,0,1,0,0,0
3,VTHO,1,0,0,0,1,1,1,0,0,0
3,MLN,1,0,1,0,1,1,0,0,0,0
2,SKY,1,0,0,0,0,0,1,0,0,0
2,IDEX,1,0,0,0,1,0,0,0,0,0
2,COTI,1,0,0,0,1,1,0,0,0,0
3,DYDX,0,0,1,0,1,1,0,0,0,1
2,GNO,1,0,0,0,1,0,0,0,0,0
3,CELR,1,0,1,0,1,1,0,0,0,0
3,WAXP,0,0,1,0,1,1,1,0,0,0
3,GHST,1,0,1,0,1,1,0,0,0,0
2,FARM,1,0,0,0,1,0,0,0,0,0
3,RAY,0,0,1,0,1,0,1,0,0,0
5,MINA,1,0,1,0,1,1,1,0,0,1
4,FLOW,1,0,1,0,1,1,1,0,0,0
2,QNT,1,0,0,0,1,1,0,0,0,0
2,C98,1,0,0,0,1,1,0,0,0,0
3,SKL,1,0,1,0,1,1,0,0,0,0
3,GTC,1,0,0,0,1,1,1,0,0,0
5,CRV,1,0,1,0,1,1,1,0,0,1
4,LPT,1,0,1,0,1,1,1,0,0,0
4,MASK,1,0,1,0,1,1,1,0,0,0
3,AR,0,0,1,0,1,1,0,0,0,1
2,ROSE,1,0,0,0,1,1,0,0,0,0
3,ICP,1,0,1,0,1,1,0,0,0,0
4,SHIB,1,0,1,0,1,0,1,0,0,0
4,GLM,1,0,1,0,1,1,1,0,0,0
5,SAND,1,0,1,0,1,1,1,0,0,1
3,FORTH,1,0,1,0,1,1,0,0,0,0
2,BAR,0,0,0,0,1,0,1,0,0,0
3,PUNDIX,1,0,0,0,1,1,1,0,0,0
5,COMP,1,0,1,0,1,1,1,0,0,1
3,OXT,1,0,0,0,1,1,1,0,0,0
3,CFX,0,0,1,0,1,1,0,0,0,1
3,AUDIO,1,0,0,0,1,0,1,0,0,0
3,SUPER,1,0,0,0,1,1,0,0,0,1
3,PERP,1,0,1,0,1,1,0,0,0,0
2,ALICE,1,0,0,0,1,1,0,0,0,0
2,TFUEL,0,0,0,0,1,0,1,0,0,0
2,POND,1,0,0,0,1,0,0,0,0,0
4,OM,0,0,1,0,1,1,1,0,0,1
2,FORT,1,0,0,0,0,0,1,0,0,0
2,CHR,0,0,0,0,1,1,1,0,0,0
2,FIS,1,0,0,0,1,1,0,0,0,0
4,UMA,1,0,1,0,1,1,0,0,0,1
2,PHA,0,0,1,0,1,1,0,0,0,0
2,ELF,0,0,1,0,0,0,1,0,0,0
4,AUCTION,1,0,1,0,1,1,1,0,0,0
2,ACM,0,0,0,0,1,0,1,0,0,0
5,ADA,1,0,1,0,1,1,1,0,0,1
2,ACS,1,0,0,0,0,0,1,0,0,0
4,ZRX,1,0,1,0,1,1,1,0,0,0
3,ZIL,0,0,1,0,1,1,1,0,0,0
3,POWR,1,0,0,0,1,1,1,0,0,0
2,CKB,0,0,0,0,1,1,1,0,0,0
3,KAVA,1,0,0,0,1,1,1,0,0,0
2,FLR,1,0,1,0,0,0,0,0,0,0
2,TRU,1,0,0,0,1,1,0,0,0,0
3,YFI,1,0,1,0,1,1,0,0,0,0
