symbol,baseCurrency,quoteCurrency,status,displayName,fxStablecoin,maxSlippagePercentage,postOnly,limitOnly,cancelOnly,tradingDisabled,statusMessage,auctionMode,exchange,type,trading_type
CVC-USD,CVC,USD,online,CVC-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
XTZ-GBP,XTZ,GBP,online,XTZ-GBP,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
NCT-USD,NCT,USD,online,NCT-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
FLOW-USDT,FLOW,USDT,online,FLOW-USDT,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ATOM-USD,ATOM,USD,online,ATOM-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
AXS-EUR,AXS,EUR,online,AXS-EUR,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
INJ-USD,INJ,USD,online,INJ-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
XYO-USD,XYO,USD,online,XYO-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
OP-USDT,OP,USDT,online,OP-USDT,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
SOL-ETH,SOL,ETH,online,SOL-ETH,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
APT-USDT,APT,USDT,online,APT-USDT,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
OCEAN-USD,OCEAN,USD,online,OCEAN-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ANKR-EUR,ANKR,EUR,online,ANKR-EUR,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
AGLD-USD,AGLD,USD,online,AGLD-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
FARM-USD,FARM,USD,online,FARM-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ENA-USD,ENA,USD,online,ENA/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
RED-USD,RED,USD,online,RED/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
XRP-USDT,XRP,USDT,online,XRP-USDT,False,0.05000000,False,False,False,False,,False,coinbase,spot,现货
SUKU-USD,SUKU,USD,online,SUKU-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ICP-GBP,ICP,GBP,online,ICP-GBP,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
XCN-USD,XCN,USD,online,XCN-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
DOT-EUR,DOT,EUR,online,DOT-EUR,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
EOS-USD,EOS,USD,online,EOS-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
RONIN-USD,RONIN,USD,online,RONIN/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
GRT-GBP,GRT,GBP,online,GRT-GBP,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
SOL-USD,SOL,USD,online,SOL-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
DOT-GBP,DOT,GBP,online,DOT-GBP,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
FARTCOIN-USD,FARTCOIN,USD,online,FARTCOIN/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
MANTLE-USD,MANTLE,USD,online,MANTLE/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
INV-USD,INV,USD,online,INV-USD,False,0.05000000,False,True,False,False,,False,coinbase,spot,现货
ETH-USDT,ETH,USDT,online,ETH-USDT,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
CLV-USD,CLV,USD,online,CLV-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
PNUT-USD,PNUT,USD,online,PNUT/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ALGO-USD,ALGO,USD,online,ALGO-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ICP-USD,ICP,USD,online,ICP-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
KAVA-USD,KAVA,USD,online,KAVA-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ME-USD,ME,USD,online,ME/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
TAO-USD,TAO,USD,online,TAO/USD,False,0.03000000,False,True,False,False,,False,coinbase,spot,现货
BTRST-USD,BTRST,USD,online,BTRST-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
LSETH-ETH,LSETH,ETH,online,LSETH-ETH,True,0.01000000,False,True,False,False,,False,coinbase,spot,现货
BAT-USD,BAT,USD,online,BAT-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
REQ-USD,REQ,USD,online,REQ-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
GODS-USD,GODS,USD,online,GODS-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ATH-USD,ATH,USD,online,ATH/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
HBAR-USDT,HBAR,USDT,online,HBAR-USDT,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ALGO-EUR,ALGO,EUR,online,ALGO-EUR,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
STG-USD,STG,USD,online,STG-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
CHZ-USDT,CHZ,USDT,online,CHZ-USDT,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
HOME-USD,HOME,USD,online,HOME/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
BLUR-USD,BLUR,USD,online,BLUR-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
TIME-USD,TIME,USD,online,TIME-USD,False,0.05000000,False,True,False,False,,False,coinbase,spot,现货
CGLD-USD,CGLD,USD,online,CGLD-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
BAT-BTC,BAT,BTC,online,BAT-BTC,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
MATIC-BTC,MATIC,BTC,online,MATIC-BTC,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
MANA-ETH,MANA,ETH,online,MANA-ETH,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
DRIFT-USD,DRIFT,USD,online,DRIFT/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
MASK-GBP,MASK,GBP,online,MASK-GBP,False,0.05000000,False,False,False,False,,False,coinbase,spot,现货
AERGO-USD,AERGO,USD,online,AERGO-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
SPELL-USD,SPELL,USD,online,SPELL-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
NEAR-USD,NEAR,USD,online,NEAR-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ARKM-USD,ARKM,USD,online,ARKM/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
IP-USD,IP,USD,online,IP/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
CRV-GBP,CRV,GBP,online,CRV-GBP,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
B3-USD,B3,USD,online,B3/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
LCX-USD,LCX,USD,online,LCX-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
SPK-USD,SPK,USD,online,SPK/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
MSOL-USD,MSOL,USD,online,MSOL-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
DNT-USD,DNT,USD,online,DNT-USD,False,0.05000000,False,False,False,False,,False,coinbase,spot,现货
VARA-USD,VARA,USD,online,VARA-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
SD-USD,SD,USD,online,SD/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
XLM-USD,XLM,USD,online,XLM-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ONDO-USD,ONDO,USD,online,ONDO-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
EOS-EUR,EOS,EUR,online,EOS-EUR,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
VTHO-USD,VTHO,USD,online,VTHO-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ZEN-USD,ZEN,USD,online,ZEN-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
STX-USD,STX,USD,online,STX-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
SNX-USD,SNX,USD,online,SNX-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
STRK-USD,STRK,USD,online,STRK/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
KARRAT-USD,KARRAT,USD,online,KARRAT/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
RARI-USD,RARI,USD,online,RARI-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
REZ-USD,REZ,USD,online,REZ/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
KRL-USD,KRL,USD,online,KRL-USD,False,0.05000000,False,False,False,False,,False,coinbase,spot,现货
CAKE-USD,CAKE,USD,online,CAKE/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
CRV-BTC,CRV,BTC,online,CRV-BTC,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
MANA-EUR,MANA,EUR,online,MANA-EUR,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
PRIME-USD,PRIME,USD,online,PRIME-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
LA-USD,LA,USD,online,LA/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
MATIC-USDT,MATIC,USDT,online,MATIC-USDT,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
BLZ-USD,BLZ,USD,online,BLZ-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
CHZ-GBP,CHZ,GBP,online,CHZ-GBP,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
RPL-USD,RPL,USD,online,RPL-USD,False,0.05000000,False,False,False,False,,False,coinbase,spot,现货
SHIB-USD,SHIB,USD,online,SHIB-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
OGN-USD,OGN,USD,online,OGN-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ILV-USD,ILV,USD,online,ILV-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ETC-BTC,ETC,BTC,online,ETC-BTC,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
PEPE-USD,PEPE,USD,online,PEPE/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
GRT-USD,GRT,USD,online,GRT-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
COW-USD,COW,USD,online,COW/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ENS-USD,ENS,USD,online,ENS-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ALEPH-USD,ALEPH,USD,online,ALEPH-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
AAVE-BTC,AAVE,BTC,online,AAVE-BTC,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
SEAM-USD,SEAM,USD,online,SEAM-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
HNT-USD,HNT,USD,online,HNT-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
TIA-USD,TIA,USD,online,TIA-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ZRX-USD,ZRX,USD,online,ZRX-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
CGLD-EUR,CGLD,EUR,online,CGLD-EUR,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
AUCTION-USD,AUCTION,USD,online,AUCTION-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
XTZ-EUR,XTZ,EUR,online,XTZ-EUR,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
FIDA-USD,FIDA,USD,online,FIDA-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
XLM-BTC,XLM,BTC,online,XLM-BTC,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
DASH-BTC,DASH,BTC,online,DASH-BTC,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
PRCL-USD,PRCL,USD,online,PRCL/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
BAND-USD,BAND,USD,online,BAND-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
CRO-USD,CRO,USD,online,CRO-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
PLU-USD,PLU,USD,online,PLU-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
NKN-USD,NKN,USD,online,NKN-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
LRC-USD,LRC,USD,online,LRC-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
AURORA-USD,AURORA,USD,online,AURORA-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
TRUMP-USD,TRUMP,USD,online,TRUMP/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
