symbol,baseAsset,quoteAsset,status,exchange,type,trading_type,contractType
ONGUSDT,ONG,USDT,TRADING,binance,spot,现货,
HOTUSDT,HOT,USDT,TRADING,binance,spot,现货,
ZILUSDT,ZIL,USDT,TRADING,binance,spot,现货,
ZRXUSDT,ZRX,USDT,TRADING,binance,spot,现货,
FETBNB,FET,BNB,TRADING,binance,spot,现货,
FETBTC,FET,BTC,TRADING,binance,spot,现货,
FETUSDT,FET,USDT,TRADING,binance,spot,现货,
BATUSDT,BAT,USDT,TRADING,binance,spot,现货,
ZECUSDT,ZEC,USDT,TRADING,binance,spot,现货,
IOSTUSDT,IOST,USDT,TRADING,binance,spot,现货,
CELRUSDT,CELR,USDT,TRADING,binance,spot,现货,
ADAUSDC,ADA,USDC,TRADING,binance,spot,现货,
NEOUSDC,NEO,USDC,TRADING,binance,spot,现货,
DASHUSDT,DASH,USDT,TRADING,binance,spot,现货,
THETAUSDT,THETA,USDT,TRADING,binance,spot,现货,
ENJUSDT,ENJ,USDT,TRADING,binance,spot,现货,
ATOMBTC,ATOM,BTC,TRADING,binance,spot,现货,
ATOMUSDT,ATOM,USDT,TRADING,binance,spot,现货,
ATOMUSDC,ATOM,USDC,TRADING,binance,spot,现货,
ETCUSDC,ETC,USDC,TRADING,binance,spot,现货,
PHBBTC,PHB,BTC,TRADING,binance,spot,现货,
TFUELBTC,TFUEL,BTC,TRADING,binance,spot,现货,
TFUELUSDT,TFUEL,USDT,TRADING,binance,spot,现货,
ONEUSDT,ONE,USDT,TRADING,binance,spot,现货,
ALGOBTC,ALGO,BTC,TRADING,binance,spot,现货,
ALGOUSDT,ALGO,USDT,TRADING,binance,spot,现货,
ALGOUSDC,ALGO,USDC,TRADING,binance,spot,现货,
DOGEBTC,DOGE,BTC,TRADING,binance,spot,现货,
DOGEUSDT,DOGE,USDT,TRADING,binance,spot,现货,
DOGEUSDC,DOGE,USDC,TRADING,binance,spot,现货,
DUSKBTC,DUSK,BTC,TRADING,binance,spot,现货,
DUSKUSDT,DUSK,USDT,TRADING,binance,spot,现货,
ANKRBTC,ANKR,BTC,TRADING,binance,spot,现货,
ANKRUSDT,ANKR,USDT,TRADING,binance,spot,现货,
ONTUSDC,ONT,USDC,TRADING,binance,spot,现货,
WINUSDT,WIN,USDT,TRADING,binance,spot,现货,
COSUSDT,COS,USDT,TRADING,binance,spot,现货,
MTLUSDT,MTL,USDT,TRADING,binance,spot,现货,
DENTUSDT,DENT,USDT,TRADING,binance,spot,现货,
WANUSDT,WAN,USDT,TRADING,binance,spot,现货,
FUNUSDT,FUN,USDT,TRADING,binance,spot,现货,
CVCUSDT,CVC,USDT,TRADING,binance,spot,现货,
WINTRX,WIN,TRX,TRADING,binance,spot,现货,
CHZBNB,CHZ,BNB,TRADING,binance,spot,现货,
CHZBTC,CHZ,BTC,TRADING,binance,spot,现货,
CHZUSDT,CHZ,USDT,TRADING,binance,spot,现货,
BANDBTC,BAND,BTC,TRADING,binance,spot,现货,
BANDUSDT,BAND,USDT,TRADING,binance,spot,现货,
XTZBTC,XTZ,BTC,TRADING,binance,spot,现货,
XTZUSDT,XTZ,USDT,TRADING,binance,spot,现货,
RVNUSDT,RVN,USDT,TRADING,binance,spot,现货,
HBARBNB,HBAR,BNB,TRADING,binance,spot,现货,
HBARBTC,HBAR,BTC,TRADING,binance,spot,现货,
HBARUSDT,HBAR,USDT,TRADING,binance,spot,现货,
NKNBTC,NKN,BTC,TRADING,binance,spot,现货,
NKNUSDT,NKN,USDT,TRADING,binance,spot,现货,
STXBNB,STX,BNB,TRADING,binance,spot,现货,
STXBTC,STX,BTC,TRADING,binance,spot,现货,
STXUSDT,STX,USDT,TRADING,binance,spot,现货,
KAVABTC,KAVA,BTC,TRADING,binance,spot,现货,
KAVAUSDT,KAVA,USDT,TRADING,binance,spot,现货,
ARPABTC,ARPA,BTC,TRADING,binance,spot,现货,
ARPAUSDT,ARPA,USDT,TRADING,binance,spot,现货,
IOTXUSDT,IOTX,USDT,TRADING,binance,spot,现货,
RLCUSDT,RLC,USDT,TRADING,binance,spot,现货,
BCHBNB,BCH,BNB,TRADING,binance,spot,现货,
BCHBTC,BCH,BTC,TRADING,binance,spot,现货,
BCHUSDT,BCH,USDT,TRADING,binance,spot,现货,
BCHUSDC,BCH,USDC,TRADING,binance,spot,现货,
FTTUSDT,FTT,USDT,TRADING,binance,spot,现货,
BTCTRY,BTC,TRY,TRADING,binance,spot,现货,
BNBTRY,BNB,TRY,TRADING,binance,spot,现货,
ETHTRY,ETH,TRY,TRADING,binance,spot,现货,
XRPTRY,XRP,TRY,TRADING,binance,spot,现货,
USDTTRY,USDT,TRY,TRADING,binance,spot,现货,
BTCEUR,BTC,EUR,TRADING,binance,spot,现货,
ETHEUR,ETH,EUR,TRADING,binance,spot,现货,
BNBEUR,BNB,EUR,TRADING,binance,spot,现货,
XRPEUR,XRP,EUR,TRADING,binance,spot,现货,
EURUSDT,EUR,USDT,TRADING,binance,spot,现货,
