symbol,baseAsset,quoteAsset,status,exchange,type,trading_type,korean_name,english_name,trade_price,change,change_rate,high_price,low_price,acc_trade_volume_24h,acc_trade_price_24h,timestamp
BTC-GRT,GRT,BTC,TRADING,upbit,spot,现货,더그래프,The Graph,7.9e-07,EVEN,0.0,7.9e-07,7.9e-07,8337.06858791,0.00658628,1754148390725
BTC-GRS,GRS,BTC,TRADING,upbit,spot,现货,그로스톨코인,Groestlcoin,2.61e-06,FALL,0.043956044,2.61e-06,2.61e-06,650.80948168,0.00169861,1754148390087
BTC-ENS,ENS,BTC,TRADING,upbit,spot,现货,이더리움네임서비스,Ethereum Name Service,0.00022149,RISE,0.0232848233,0.00023395,0.00021647,360.1892742,0.07844324,1754148390816
BTC-XTZ,XTZ,BTC,TRADING,upbit,spot,现货,테조스,Tezos,6.72e-06,EVEN,0.0,6.72e-06,6.72e-06,4.0,2.688e-05,1754093515677
KRW-KAVA,KAVA,KRW,TRADING,upbit,spot,现货,카바,Kava,532.0,FALL,0.0037453184,537.0,525.0,1836127.20937727,976647167.027238,1754148390516
BTC-CKB,CKB,BTC,TRADING,upbit,spot,现货,너보스,Nervos Network,4e-08,EVEN,0.0,5e-08,4e-08,766579.00670935,0.03141846,1754148391116
BTC-ARDR,ARDR,BTC,TRADING,upbit,spot,现货,아더,Ardor,7.9e-07,FALL,0.0125,7.9e-07,7.9e-07,2000.75954198,0.0015806,1754148390086
BTC-TIA,TIA,BTC,TRADING,upbit,spot,现货,셀레스티아,Celestia,1.414e-05,FALL,0.0248275862,2.87e-05,1.284e-05,4331.17295076,0.06277877,1754148391389
KRW-ZRO,ZRO,KRW,TRADING,upbit,spot,现货,레이어제로,LayerZero,2374.0,FALL,0.0058626466,2434.0,2341.0,618345.6746553,1469132129.4199538,1754148391030
BTC-ACM,ACM,BTC,TRADING,upbit,spot,现货,AC밀란,AC Milan Fan Token,7.9e-06,FALL,0.0125,7.91e-06,7.9e-06,429.56357451,0.00339411,1754148390833
BTC-REI,REI,BTC,TRADING,upbit,spot,现货,레이,REI,1.6e-07,FALL,0.0588235294,1.7e-07,1.5e-07,6267235.035125,1.02106943,1754148390596
BTC-KAITO,KAITO,BTC,TRADING,upbit,spot,现货,카이토,KAITO,1.025e-05,FALL,0.1048034934,1.025e-05,1.025e-05,93.96639705,0.00096316,1754148391342
BTC-RED,RED,BTC,TRADING,upbit,spot,现货,레드스톤,RedStone,2.86e-06,FALL,0.023890785,2.94e-06,2.86e-06,5596.80759422,0.01609925,1754148391429
KRW-RAY,RAY,KRW,TRADING,upbit,spot,现货,레이디움,Raydium,3609.0,FALL,0.0019358407,3691.0,3568.0,93651.67029166,341040357.37704194,1754148391486
BTC-ACS,ACS,BTC,TRADING,upbit,spot,现货,액세스프로토콜,Access Protocol,1e-08,EVEN,0.0,2e-08,1e-08,12377878.61591899,0.12380878,1754148390856
KRW-ONDO,ONDO,KRW,TRADING,upbit,spot,现货,온도파이낸스,Ondo Finance,1235.0,FALL,0.0040322581,1270.0,1220.0,20321018.51306893,25302691182.757973,1754148391020
BTC-NEAR,NEAR,BTC,TRADING,upbit,spot,现货,니어프로토콜,NEAR Protocol,2.132e-05,RISE,0.0032941176,2.132e-05,2.132e-05,348.09155531,0.00742131,1754148390678
USDT-ADA,ADA,USDT,TRADING,upbit,spot,现货,에이다,Ada,0.7232,FALL,0.0641821946,0.74,0.7,2617.5155325,1853.71075999,1754148390209
BTC-ADA,ADA,BTC,TRADING,upbit,spot,现货,에이다,Ada,6.23e-06,FALL,0.0063795853,6.27e-06,6.23e-06,3695.8960072,0.02304275,1754148390205
BTC-ELF,ELF,BTC,TRADING,upbit,spot,现货,엘프,aelf,1.82e-06,FALL,0.0108695652,1.82e-06,1.82e-06,261.23692658,0.00047545,1754007055426
KRW-ZRX,ZRX,KRW,TRADING,upbit,spot,现货,제로엑스,0x Protocol,321.0,FALL,0.0061919505,329.0,316.0,1378084.03236062,442084466.28888273,1754148390268
USDT-GO,GO,USDT,TRADING,upbit,spot,现货,고체인,GoChain,0.001999,RISE,0.1758823529,0.001999,0.001601,267627.96016644,475.43186371,1754148391413
BTC-AGLD,AGLD,BTC,TRADING,upbit,spot,现货,어드벤처골드,Adventure Gold,5.82e-06,FALL,0.0283806344,5.95e-06,5.82e-06,34.06213124,0.00019824,1754142896118
BTC-CHR,CHR,BTC,TRADING,upbit,spot,现货,크로미아,Chromia,7.4e-07,FALL,0.0263157895,7.6e-07,7.3e-07,2137.76382908,0.00160614,1754148390547
USDT-TIA,TIA,USDT,TRADING,upbit,spot,现货,셀레스티아,Celestia,2.392,RISE,0.495,2.396,2.392,38.75293173,85.59880944,1754148391390
BTC-KERNEL,KERNEL,BTC,TRADING,upbit,spot,现货,커널다오,KernelDAO,1.6e-06,FALL,0.0857142857,1.77e-06,1.58e-06,1075848.02801535,1.85252804,1754148391425
USDT-ACS,ACS,USDT,TRADING,upbit,spot,现货,액세스프로토콜,Access Protocol,0.001102,EVEN,0.0,0.001111,0.001102,151636.875,167.13649188,1754148391412
USDT-RED,RED,USDT,TRADING,upbit,spot,现货,레드스톤,RedStone,0.3364,FALL,0.0388571429,0.35,0.3019,2836.01769198,933.89657234,1754148391430
KRW-GMT,GMT,KRW,TRADING,upbit,spot,现货,스테픈,Stepn,60.2,RISE,0.0016638935,61.3,59.1,25250717.72377461,1518605487.1586382,1754148390823
BTC-CHZ,CHZ,BTC,TRADING,upbit,spot,现货,칠리즈,Chiliz,3.3e-07,EVEN,0.0,3.3e-07,3.3e-07,477.01703296,0.00015741,1754148390483
BTC-BIGTIME,BIGTIME,BTC,TRADING,upbit,spot,现货,빅타임,Big Time,5.6e-07,FALL,0.0666666667,5.9e-07,5.6e-07,2911.23571515,0.00163029,1753892016347
BTC-XRP,XRP,BTC,TRADING,upbit,spot,现货,엑스알피(리플),XRP,2.546e-05,FALL,0.0211457132,2.659e-05,2.546e-05,15080.2441716,0.38989695,1754148390081
KRW-TFUEL,TFUEL,KRW,TRADING,upbit,spot,现货,쎄타퓨엘,Theta Fuel,51.4,FALL,0.0228136882,58.4,50.9,531182738.9955527,29538834148.968758,1754148390395
BTC-QTUM,QTUM,BTC,TRADING,upbit,spot,现货,퀀텀,Qtum,1.8e-05,RISE,0.0158013544,1.8e-05,1.8e-05,220.19726185,0.00391648,1754148390084
BTC-GMT,GMT,BTC,TRADING,upbit,spot,现货,스테픈,Stepn,4.3e-07,EVEN,0.0,4.3e-07,4.3e-07,158.87077352,6.831e-05,1753892016344
BTC-AUDIO,AUDIO,BTC,TRADING,upbit,spot,现货,오디우스,Audius,5.3e-07,EVEN,0.0,5.3e-07,5.3e-07,293768.91842627,0.16544014,1754148390778
KRW-MASK,MASK,KRW,TRADING,upbit,spot,现货,마스크네트워크,Mask Network,1699.0,RISE,0.0083086053,1717.0,1666.0,508624.19926165,858300852.7060741,1754148390855
BTC-FCT2,FCT2,BTC,TRADING,upbit,spot,现货,피르마체인,FirmaChain,2.6e-07,EVEN,0.0,2.6e-07,2.6e-07,9453.80953965,0.00245799,1754148390618
USDT-ZETA,ZETA,USDT,TRADING,upbit,spot,现货,제타체인,ZetaChain,0.1915,RISE,0.0886867538,0.1915,0.1915,41.393465,7.41692645,1754148390969
KRW-COMP,COMP,KRW,TRADING,upbit,spot,现货,컴파운드,Compound,62100.0,RISE,0.0097560976,62950.0,60900.0,7430.98800289,457225928.60106,1754148391359
KRW-ZETA,ZETA,KRW,TRADING,upbit,spot,现货,제타체인,ZetaChain,252.0,FALL,0.0078740157,258.0,248.0,4085136.75630175,1033242659.4085051,1754148390968
KRW-TIA,TIA,KRW,TRADING,upbit,spot,现货,셀레스티아,Celestia,2257.0,FALL,0.0008853475,2303.0,2221.0,535119.32093246,1209652842.9076335,1754148391389
USDT-QTCON,QTCON,USDT,TRADING,upbit,spot,现货,퀴즈톡,Quiztok,0.0002885,FALL,0.1709770115,0.0003466,0.0002872,7427891.60986616,2172.12486109,1754148391414
USDT-ZRX,ZRX,USDT,TRADING,upbit,spot,现货,제로엑스,0x Protocol,0.228,FALL,0.0547263682,0.2342,0.228,5.09107743,1.16076565,1754148390333
KRW-ADA,ADA,KRW,TRADING,upbit,spot,现货,에이다,Ada,992.0,FALL,0.0040160643,1015.0,985.0,28827149.12624888,28790635472.108883,1754148390204
KRW-ELF,ELF,KRW,TRADING,upbit,spot,现货,엘프,aelf,290.0,RISE,0.0034602076,293.0,287.0,1046941.46354062,303789186.69124913,1754148390332
USDT-ZRO,ZRO,USDT,TRADING,upbit,spot,现货,레이어제로,LayerZero,1.657,FALL,0.0405327157,1.755,1.657,6.89654269,11.63561483,1754148391031
BTC-LINK,LINK,BTC,TRADING,upbit,spot,现货,체인링크,Chainlink,0.00013975,RISE,0.0133420347,0.00014172,0.00013975,40.62115294,0.00568665,1754148390507
USDT-AHT,AHT,USDT,TRADING,upbit,spot,现货,아하토큰,AhaToken,0.003699,FALL,0.0436918304,0.00378,0.003699,12000.0,44.91278532,1754148391171
KRW-STEEM,STEEM,KRW,TRADING,upbit,spot,现货,스팀,Steem,182.0,FALL,0.0054644809,185.0,180.0,3292283.87312747,599180901.9187714,1754148390158
BTC-APE,APE,BTC,TRADING,upbit,spot,现货,에이프코인,ApeCoin,4.97e-06,FALL,0.0119284294,4.98e-06,4.79e-06,10062.09970322,0.04837131,1754148390823
USDT-EPT,EPT,USDT,TRADING,upbit,spot,现货,밸런스,Balance,0.003834,RISE,0.0218550107,0.003862,0.003834,306045.48645639,1226.16328574,1754148391468
BTC-CTC,CTC,BTC,TRADING,upbit,spot,现货,크레딧코인,Creditcoin,5.59e-06,EVEN,0.0,5.59e-06,5.59e-06,195.24252919,0.00109141,1754148390790
BTC-POKT,POKT,BTC,TRADING,upbit,spot,现货,포켓네트워크,Pocket Network,3.4e-07,EVEN,0.0,3.4e-07,3.4e-07,1002.67265073,0.00034091,1754148390954
BTC-APT,APT,BTC,TRADING,upbit,spot,现货,앱토스,Aptos,3.699e-05,RISE,0.0139802632,3.702e-05,3.676e-05,153.71912251,0.0056351,1754148390833
KRW-SOPH,SOPH,KRW,TRADING,upbit,spot,现货,소폰,Sophon,54.6,FALL,0.0108695652,59.4,54.0,594922373.5088879,33925967675.85053,1754148391441
KRW-MED,MED,KRW,TRADING,upbit,spot,现货,메디블록,MediBloc,7.78,FALL,0.0226130653,8.08,7.64,93964945.45928293,739339098.7511972,1754148390466
USDT-LA,LA,USDT,TRADING,upbit,spot,现货,라그랑주,Lagrange,0.4161,FALL,0.0054971319,0.4161,0.4161,953.20292462,396.62773693,1754045336741
KRW-1INCH,1INCH,KRW,TRADING,upbit,spot,现货,1인치네트워크,1inch Network,339.0,RISE,0.0029585799,344.0,333.0,867439.25926626,293495284.1690367,1754148390765
BTC-PUFFER,PUFFER,BTC,TRADING,upbit,spot,现货,퍼퍼,Puffer,1.75e-06,FALL,0.0384615385,1.86e-06,1.61e-06,251687.20439925,0.43951193,1754148391204
USDT-FORT,FORT,USDT,TRADING,upbit,spot,现货,포르타,Forta,0.06615,FALL,0.0912213216,0.06666,0.06615,645.62348782,42.87288065,1754123756522
BTC-AQT,AQT,BTC,TRADING,upbit,spot,现货,알파쿼크,Alpha Quark Token,1.021e-05,EVEN,0.0,1.021e-05,1.021e-05,121.10675808,0.0012365,1754086015626
KRW-MEW,MEW,KRW,TRADING,upbit,spot,现货,캣인어독스월드,cat in a dogs world,4.13,RISE,0.00486618,4.27,4.07,917965466.3041344,3805164201.0431395,1754148391146
BTC-SWELL,SWELL,BTC,TRADING,upbit,spot,现货,스웰네트워크,Swell Network,8e-08,EVEN,0.0,9e-08,7e-08,15155057.18393308,1.2128717,1754148391205
USDT-CKB,CKB,USDT,TRADING,upbit,spot,现货,너보스,Nervos Network,0.007347,EVEN,0.0,0.007347,0.005262,11786.52344644,62.22390105,1754148391117
KRW-ORBS,ORBS,KRW,TRADING,upbit,spot,现货,오브스,Orbs,25.6,FALL,0.0038910506,26.0,25.5,15385513.22929842,395190420.2230602,1754148390483
BTC-HIVE,HIVE,BTC,TRADING,upbit,spot,现货,하이브,Hive,1.86e-06,FALL,0.0106382979,1.86e-06,1.86e-06,140.76100072,0.00026182,1754148390501
BTC-SAFE,SAFE,BTC,TRADING,upbit,spot,现货,세이프,Safe,3.71e-06,FALL,0.0080213904,3.71e-06,3.71e-06,134.7735849,0.00050001,1754093336287
BTC-CRV,CRV,BTC,TRADING,upbit,spot,现货,커브,Curve,7.84e-06,RISE,0.0168612192,8.56e-06,7.71e-06,26087.89485609,0.20595853,1754148390569
BTC-CRO,CRO,BTC,TRADING,upbit,spot,现货,크로노스,Cronos,1.13e-06,FALL,0.0173913043,1.13e-06,1.13e-06,6254.94438615,0.00706809,1754148390379
USDT-FLOCK,FLOCK,USDT,TRADING,upbit,spot,现货,플록,FLock.io,0.1621,RISE,0.0037151703,0.2799,0.1475,1020.08996043,202.84885878,1754148391443
USDT-IO,IO,USDT,TRADING,upbit,spot,现货,아이오넷,io.net,0.6792,FALL,0.1559587424,0.6824,0.6792,80.00573274,54.4656538,1753892016351
USDT-ENA,ENA,USDT,TRADING,upbit,spot,现货,에테나,Ethena,0.5373,FALL,0.0678348369,0.7279,0.5232,856.61557934,486.60676787,1754148386600
KRW-RENDER,RENDER,KRW,TRADING,upbit,spot,现货,렌더토큰,Render Token,4878.0,FALL,0.0095431472,5025.0,4822.0,209036.54284508,1027122377.896193,1754148391202
USDT-KERNEL,KERNEL,USDT,TRADING,upbit,spot,现货,커널다오,KernelDAO,0.1855,FALL,0.0511508951,0.1855,0.1855,39.63199332,7.35173476,1754148391426
KRW-STG,STG,KRW,TRADING,upbit,spot,现货,스타게이트파이낸스,Stargate Finance,214.0,FALL,0.0092592593,218.0,213.0,3938788.72659813,849574849.3753941,1754148390981
KRW-ORCA,ORCA,KRW,TRADING,upbit,spot,现货,오르카,Orca,2916.0,FALL,0.0128639133,2990.0,2866.0,265937.73085469,779639735.3487455,1754148391350
USDT-XRP,XRP,USDT,TRADING,upbit,spot,现货,엑스알피(리플),XRP,2.9,FALL,0.0085470085,3.0,2.877,60047.16852176,178195.97404542,1754148390092
KRW-BERA,BERA,KRW,TRADING,upbit,spot,现货,베라체인,Berachain,2459.0,FALL,0.0128462465,2528.0,2434.0,553124.45428972,1373349077.1194022,1754148391302
BTC-AKT,AKT,BTC,TRADING,upbit,spot,现货,아카시네트워크,Akash Network,1.011e-05,FALL,0.1208695652,1.011e-05,1.011e-05,205.32647029,0.00207585,1754115356012
KRW-SIGN,SIGN,KRW,TRADING,upbit,spot,现货,사인,Sign,95.9,FALL,0.0010416667,97.5,94.2,6052495.90382034,580028012.323763,1754148391383
BTC-COW,COW,BTC,TRADING,upbit,spot,现货,카우프로토콜,CoW Protocol,3.75e-06,EVEN,0.0,3.75e-06,3.75e-06,50.0,0.0001875,1754047316574
BTC-ETC,ETC,BTC,TRADING,upbit,spot,现货,이더리움클래식,Ethereum Classic,0.00017437,EVEN,0.0,0.00017438,0.00017437,275.75443166,0.04808333,1754148390081
USDT-ALT,ALT,USDT,TRADING,upbit,spot,现货,알트레이어,Altlayer,0.03138,FALL,0.2420289855,0.04135,0.03102,2810.75015984,91.76179142,1754148391481
BTC-AVAX,AVAX,BTC,TRADING,upbit,spot,现货,아발란체,Avalanche,0.00018836,EVEN,0.0,0.00018836,0.00018836,18.18845731,0.00342598,1754148390802
USDT-BLAST,BLAST,USDT,TRADING,upbit,spot,现货,블라스트,Blast,0.003537,FALL,0.0095211425,0.003537,0.003537,202.45289907,0.7160759,1754148391042
USDT-OP,OP,USDT,TRADING,upbit,spot,现货,옵티미즘,Optimism,0.7744,RISE,0.2090554254,0.7744,0.7744,2.26736651,1.75584862,1754148386636
BTC-ETH,ETH,BTC,TRADING,upbit,spot,现货,이더리움,Ethereum,0.03088585,RISE,0.0091673724,0.03113969,0.03009946,96.51026598,2.9710863,1754148390080
BTC-NEO,NEO,BTC,TRADING,upbit,spot,现货,네오,NEO,5.007e-05,RISE,0.0094758065,5.007e-05,5.007e-05,32.18270564,0.00160999,1754148391021
USDT-OM,OM,USDT,TRADING,upbit,spot,现货,만트라,MANTRA,0.2277,FALL,0.110546875,0.2277,0.2277,24.81618146,5.65064452,1754148391424
USDT-PENGU,PENGU,USDT,TRADING,upbit,spot,现货,펏지펭귄,Pudgy Penguins,0.03439,RISE,0.0290245362,0.03512,0.03439,3515.47303174,120.94059933,1754148391403
BTC-UXLINK,UXLINK,BTC,TRADING,upbit,spot,现货,유엑스링크,UXLINK,2.83e-06,RISE,0.0143369176,2.84e-06,2.78e-06,4457.29543576,0.01263228,1754148391098
USDT-ETC,ETC,USDT,TRADING,upbit,spot,现货,이더리움클래식,Ethereum Classic,19.44,RISE,0.0253164557,20.82,19.23,271.59158683,5155.79121701,1754148390093
USDT-ETH,ETH,USDT,TRADING,upbit,spot,现货,이더리움,Ethereum,3505.83,RISE,0.010148072,3560.46,3449.0,74.6204658,262460.24582073,1754148390091
USDT-OMNI,OMNI,USDT,TRADING,upbit,spot,现货,옴니네트워크,Omni Network,4.295,FALL,0.1178886835,4.295,4.295,0.1629802,0.69999996,1754148390970
USDT-KAITO,KAITO,USDT,TRADING,upbit,spot,现货,카이토,KAITO,1.58,RISE,0.4107142857,1.58,1.58,3.25353736,3.85258903,1754148391342
USDT-NEO,NEO,USDT,TRADING,upbit,spot,现货,네오,NEO,7.019,RISE,0.2340014065,7.019,7.019,200.22508574,1141.41607583,1754148391022
USDT-COW,COW,USDT,TRADING,upbit,spot,现货,카우프로토콜,CoW Protocol,0.3474,FALL,0.0836190979,0.3474,0.3474,28.78526194,10.0,1754148391335
BTC-ALT,ALT,BTC,TRADING,upbit,spot,现货,알트레이어,Altlayer,2.8e-07,FALL,0.0344827586,2.9e-07,2.8e-07,3329.46819405,0.00095041,1754148390953
KRW-VANA,VANA,KRW,TRADING,upbit,spot,现货,바나,Vana,5780.0,RISE,0.0026019081,5860.0,5690.0,277321.70036115,1598962998.76501,1754148391240
USDT-VTHO,VTHO,USDT,TRADING,upbit,spot,现货,비토르토큰,VeThor Token,0.001802,FALL,0.0071625344,0.001992,0.001802,36845.31973012,66.95326266,1754148391253
KRW-DOT,DOT,KRW,TRADING,upbit,spot,现货,폴카닷,Polkadot,4975.0,RISE,0.005659996,5065.0,4903.0,747129.04188801,3706238120.7270923,1754148390591
USDT-AKT,AKT,USDT,TRADING,upbit,spot,现货,아카시네트워크,Akash Network,1.543,RISE,0.3382480486,1.543,1.135,256.59227888,293.89701577,1754148390963
USDT-RLY,RLY,USDT,TRADING,upbit,spot,现货,랠리,Rally,0.001231,FALL,0.1060275962,0.001381,0.001206,13525394.97735157,16545.10796869,1754148391414
BTC-TRX,TRX,BTC,TRADING,upbit,spot,现货,트론,TRON,2.85e-06,RISE,0.0070671378,2.95e-06,2.83e-06,22765.17582053,0.06517377,1754148390211
KRW-STRIKE,STRIKE,KRW,TRADING,upbit,spot,现货,스트라이크,Strike,15760.0,FALL,0.0494571773,17260.0,15400.0,6790350.06993388,111622256412.7843,1754148390696
BTC-FLOCK,FLOCK,BTC,TRADING,upbit,spot,现货,플록,FLock.io,1.44e-06,FALL,0.0136986301,1.5e-06,1.4e-06,195297.22691136,0.27892927,1754148391443
KRW-MBL,MBL,KRW,TRADING,upbit,spot,现货,무비블록,MovieBloc,3.14,RISE,0.0064102564,3.27,3.09,376080771.4071988,1187364431.5470448,1754148390442
BTC-ERA,ERA,BTC,TRADING,upbit,spot,现货,칼데라,Caldera,8.53e-06,FALL,0.0758396533,8.53e-06,8.53e-06,9.87795138,8.426e-05,1754148386611
BTC-MASK,MASK,BTC,TRADING,upbit,spot,现货,마스크네트워크,Mask Network,1.07e-05,RISE,0.0249042146,1.07e-05,1.07e-05,314.79466345,0.00341151,1754148390767
BTC-GAME2,GAME2,BTC,TRADING,upbit,spot,现货,게임빌드,GameBuild,4e-08,EVEN,0.0,4e-08,4e-08,21110.97256857,0.00084444,1753892016347
USDT-MOVE,MOVE,USDT,TRADING,upbit,spot,现货,무브먼트,Movement,0.1287,FALL,0.0205479452,0.1287,0.1287,543.9005439,70.0,1754148391216
USDT-ME,ME,USDT,TRADING,upbit,spot,现货,매직에덴,Magic Eden,0.7191,FALL,0.06318395,0.7192,0.7191,29.20123705,21.0,1754148391223
BTC-NCT,NCT,BTC,TRADING,upbit,spot,现货,폴리스웜,Polyswarm,2e-07,RISE,0.0526315789,2e-07,1.8e-07,1330361.60462368,0.25273583,1754148391197
USDT-NCT,NCT,USDT,TRADING,upbit,spot,现货,폴리스웜,Polyswarm,0.02159,RISE,0.0174363808,0.02899,0.02159,107.3797875,2.31832961,1753892016349
KRW-BIGTIME,BIGTIME,KRW,TRADING,upbit,spot,现货,빅타임,Big Time,79.4,FALL,0.0037641154,82.0,78.5,18701255.50999232,1492335600.5370865,1754148391104
USDT-ERA,ERA,USDT,TRADING,upbit,spot,现货,칼데라,Caldera,0.9444,FALL,0.0722986248,0.9444,0.9444,5.04033102,4.76008861,1754148386611
KRW-SNT,SNT,KRW,TRADING,upbit,spot,现货,스테이터스네트워크토큰,Status Network Token,38.0,FALL,0.0231362468,39.0,37.6,91673218.65613244,3527525901.334494,1754148390136
BTC-RLC,RLC,BTC,TRADING,upbit,spot,现货,아이젝,iEx.ec,8.11e-06,FALL,0.0252403846,8.16e-06,8.11e-06,1764.50524816,0.01465848,1754148390088
BTC-ZETA,ZETA,BTC,TRADING,upbit,spot,现货,제타체인,ZetaChain,1.58e-06,FALL,0.0650887574,1.58e-06,1.57e-06,34.095612,5.387e-05,1754126815993
KRW-SOL,SOL,KRW,TRADING,upbit,spot,现货,솔라나,Solana,229600.0,RISE,0.0118995152,230800.0,226000.0,462268.44886245,105590060341.77031,1754148390744
KRW-QKC,QKC,KRW,TRADING,upbit,spot,现货,쿼크체인,QuarkChain,10.1,FALL,0.0471698113,11.2,10.1,488995991.0612392,5199215497.407037,1754148390364
BTC-COMP,COMP,BTC,TRADING,upbit,spot,现货,컴파운드,Compound,0.00039148,RISE,0.024789927,0.00039148,0.00039148,4.25558126,0.0016273,1754148390559
BTC-RLY,RLY,BTC,TRADING,upbit,spot,现货,랠리,Rally,2e-08,EVEN,0.0,2e-08,1e-08,120629755.44950761,1.20659059,1754148390803
KRW-META,META,KRW,TRADING,upbit,spot,现货,메타디움,Metadium,29.9,FALL,0.0066445183,31.2,29.6,47635999.33572431,1445941693.146004,1754148390623
USDT-VANA,VANA,USDT,TRADING,upbit,spot,现货,바나,Vana,5.969,RISE,0.4178147268,5.969,5.969,0.1199658,0.71607586,1754148391241
USDT-SC,SC,USDT,TRADING,upbit,spot,现货,시아코인,Siacoin,0.00314,FALL,0.1882109617,0.003558,0.00314,10852.30317577,34.49960209,1754148390236
BTC-OP,OP,BTC,TRADING,upbit,spot,现货,옵티미즘,Optimism,5.57e-06,FALL,0.0716666667,5.71e-06,5.57e-06,17.95332136,0.0001,1754148386635
BTC-OM,OM,BTC,TRADING,upbit,spot,现货,만트라,MANTRA,2.06e-06,FALL,0.0418604651,2.06e-06,2.06e-06,409.74695233,0.0008638,1754148391423
BTC-AXL,AXL,BTC,TRADING,upbit,spot,现货,엑셀라,Axelar,2.88e-06,FALL,0.0237288136,2.93e-06,2.88e-06,2180.4906335,0.00627981,1754148390927
KRW-SAHARA,SAHARA,KRW,TRADING,upbit,spot,现货,사하라에이아이,Sahara AI,123.0,RISE,0.0695652174,126.0,113.0,344310680.74509513,41127720129.9015,1754148386564
BTC-ONDO,ONDO,BTC,TRADING,upbit,spot,现货,온도파이낸스,Ondo Finance,7.73e-06,EVEN,0.0,8.01e-06,7.73e-06,3454.80186191,0.02689872,1754148391021
KRW-MLK,MLK,KRW,TRADING,upbit,spot,现货,밀크,MiL.k,220.0,RISE,0.0328638498,223.0,212.8,6968852.63832183,1512648664.6584492,1754148390474
KRW-SXP,SXP,KRW,TRADING,upbit,spot,现货,솔라,SXP,246.0,FALL,0.0120481928,253.0,243.5,2961355.03769369,734130999.0850978,1754148390575
KRW-VTHO,VTHO,KRW,TRADING,upbit,spot,现货,비토르토큰,VeThor Token,2.56,RISE,0.0039215686,2.59,2.51,185740176.07316366,472821350.0690494,1754148391253
BTC-AXS,AXS,BTC,TRADING,upbit,spot,现货,엑시인피니티,Axie Infinity,1.93e-05,RISE,0.014188124,1.93e-05,1.93e-05,162.7833473,0.0031108,1754148390597
BTC-YGG,YGG,BTC,TRADING,upbit,spot,现货,일드길드게임즈,Yield Guild Games,1.31e-06,FALL,0.0223880597,1.36e-06,1.31e-06,56871.73933365,0.07474123,1754148390789
KRW-OMNI,OMNI,KRW,TRADING,upbit,spot,现货,옴니네트워크,Omni Network,5840.0,FALL,0.0378912685,6110.0,5740.0,5452072.17430395,33018978988.896202,1754148386648
USDT-SIGN,SIGN,USDT,TRADING,upbit,spot,现货,사인,Sign,0.0699,FALL,0.0189473684,0.07044,0.0699,304.03183771,21.25296978,1754121956412
KRW-MINA,MINA,KRW,TRADING,upbit,spot,现货,미나,Mina,249.0,FALL,0.004,254.0,246.0,2822322.57599498,704317293.2949631,1754148390926
BTC-WCT,WCT,BTC,TRADING,upbit,spot,现货,월렛커넥트,WalletConnect,2.67e-06,RISE,0.04296875,2.67e-06,2.57e-06,702.46349965,0.00182434,1754148391371
USDT-BERA,BERA,USDT,TRADING,upbit,spot,现货,베라체인,Berachain,2.467,RISE,0.3407608696,2.467,1.738,633.83647816,1136.26094063,1754148391303
KRW-GAS,GAS,KRW,TRADING,upbit,spot,现货,가스,GAS,4056.0,FALL,0.0036845984,4144.0,4012.0,384795.5136067,1568409107.697153,1754148390322
KRW-MNT,MNT,KRW,TRADING,upbit,spot,现货,맨틀,Mantle,969.0,FALL,0.0071721311,986.0,964.8,632960.16325081,617888794.9261751,1754148390957
KRW-MOC,MOC,KRW,TRADING,upbit,spot,现货,모스코인,Moss Coin,92.1,FALL,0.0096774194,97.4,91.0,23420277.78516697,2214944831.356606,1754148390378
USDT-SOPH,SOPH,USDT,TRADING,upbit,spot,现货,소폰,Sophon,0.05,RISE,0.3255567338,0.05,0.04,18.35694772,0.91784739,1754038796694
KRW-MOODENG,MOODENG,KRW,TRADING,upbit,spot,现货,무뎅,Moo Deng,223.0,FALL,0.0132743363,229.0,218.0,15020868.67275813,3368469925.387916,1754148386572
BTC-WAL,WAL,BTC,TRADING,upbit,spot,现货,월러스,Walrus,3.31e-06,FALL,0.0754189944,3.47e-06,3.31e-06,700.0,0.002398,1754148391356
KRW-XEC,XEC,KRW,TRADING,upbit,spot,现货,이캐시,eCash,0.0278,FALL,0.0106761566,0.0286,0.0276,25323529583.830196,711548817.8569889,1754148390731
BTC-AWE,AWE,BTC,TRADING,upbit,spot,现货,에이더블유이,AWE Network,4.4e-07,EVEN,0.0,4.5e-07,4.4e-07,1998.48243192,0.00088933,1754148390438
USDT-ORCA,ORCA,USDT,TRADING,upbit,spot,现货,오르카,Orca,2.13,FALL,0.0690559441,2.13,2.13,38.31097271,81.60237187,1754128076358
BTC-SAHARA,SAHARA,BTC,TRADING,upbit,spot,现货,사하라에이아이,Sahara AI,7.6e-07,RISE,0.0133333333,7.6e-07,7.2e-07,27359.33980129,0.02053389,1754148391510
BTC-KAVA,KAVA,BTC,TRADING,upbit,spot,现货,카바,Kava,3.33e-06,RISE,0.0214723926,3.37e-06,3.33e-06,46.48432867,0.00015555,1754148390516
BTC-SC,SC,BTC,TRADING,upbit,spot,现货,시아코인,Siacoin,2e-08,FALL,0.3333333333,3e-08,2e-08,952769.96725254,0.02757527,1754148390082
KRW-ZIL,ZIL,KRW,TRADING,upbit,spot,现货,질리카,Zilliqa,15.6,RISE,0.0196078431,17.1,15.1,291274192.8169665,4669906785.835078,1754148390259
