symbol,baseAsset,quoteAsset,status,exchange,type,trading_type,korean_name,english_name,trade_price,change,change_rate,high_price,low_price,acc_trade_volume_24h,acc_trade_price_24h,timestamp
KRW-ARK,ARK,KRW,TRADING,upbit,spot,现货,아크,Ark,594.0,RISE,0.0016863406,600.0,584.0,1499091.89027837,888601888.8219644,1754148390183
BTC-SUN,SUN,BTC,TRADING,upbit,spot,现货,썬,SUN,1.9e-07,RISE,0.0555555556,1.9e-07,1.8e-07,1520218.60241956,0.28860927,1754148390580
KRW-HYPER,HYPER,KRW,TRADING,upbit,spot,现货,하이퍼레인,Hyperlane,542.0,FALL,0.0091407678,599.0,524.0,58936013.67482773,33385680720.269714,1754148391241
BTC-LAYER,LAYER,BTC,TRADING,upbit,spot,现货,솔레이어,Solayer,5.46e-06,RISE,0.0459770115,5.46e-06,5.46e-06,141.53410147,0.00077278,1754148391312
BTC-ARPA,ARPA,BTC,TRADING,upbit,spot,现货,알파,ARPA,1.9e-07,RISE,0.0555555556,1.9e-07,1.9e-07,6248.96825175,0.00113013,1754148390816
KRW-ATH,ATH,KRW,TRADING,upbit,spot,现货,에이셔,Aethir,41.4,FALL,0.0372093023,43.5,41.3,51501772.69984345,2192163812.338128,1754148391080
USDT-BTC,BTC,USDT,TRADING,upbit,spot,现货,비트코인,Bitcoin,113628.51,RISE,0.0055620354,114468.63,113000.0,1.90150739,216137.37623896,1754148390090
BTC-IOST,IOST,BTC,TRADING,upbit,spot,现货,아이오에스티,IOST,3e-08,EVEN,0.0,3e-08,3e-08,10728.0662826,0.00032184,1754148390350
KRW-TAIKO,TAIKO,KRW,TRADING,upbit,spot,现货,타이코,Taiko,576.0,FALL,0.0187393526,592.0,567.0,1595466.92446951,926788825.8749523,1754148390993
BTC-TRUMP,TRUMP,BTC,TRADING,upbit,spot,现货,오피셜트럼프,Official Trump,7.571e-05,FALL,0.025862069,8.121e-05,7.571e-05,56.13072221,0.00424966,1754148391325
BTC-RENDER,RENDER,BTC,TRADING,upbit,spot,现货,렌더토큰,Render Token,3.053e-05,RISE,0.0032862307,3.143e-05,3.053e-05,244.96003481,0.00747801,1754148390803
BTC-RAD,RAD,BTC,TRADING,upbit,spot,现货,래드웍스,Radworks,5.36e-06,FALL,0.0037174721,5.64e-06,5.36e-06,451.89021367,0.00244487,1754148390814
