total_exchanges,baseCurrency,coinbase_spot,coinbase_futures,okx_spot,okx_futures,binance_spot,binance_futures,upbit_spot,upbit_futures,hyperliquid_spot,hyperliquid_futures
1,BTTC,0,0,0,0,1,0,0,0,0,0
1,HBD,0,0,0,0,0,0,1,0,0,0
1,FLUX,0,0,0,0,1,1,0,0,0,0
1,J,0,0,1,0,0,0,0,0,0,0
1,SANTOS,0,0,0,0,1,1,0,0,0,0
1,PORTO,0,0,0,0,1,0,0,0,0,0
1,GALFT,0,0,1,0,0,0,0,0,0,0
1,CHESS,0,0,0,0,1,1,0,0,0,0
1,FOXY,0,0,1,0,0,0,0,0,0,0
1,LAZIO,0,0,0,0,1,0,0,0,0,0
1,META,0,0,0,0,0,0,1,0,0,0
1,DF,0,0,0,0,1,1,0,0,0,0
1,GAME2,0,0,0,0,0,0,1,0,0,0
1,HOPR,1,0,0,0,0,0,0,0,0,0
1,DORA,0,0,1,0,0,0,0,0,0,0
1,STRIKE,0,0,0,0,0,0,1,0,0,0
1,RLY,0,0,0,0,0,0,1,0,0,0
1,MBOX,0,0,0,0,1,1,0,0,0,0
1,QUICK,0,0,0,0,1,1,0,0,0,0
1,FOX,1,0,0,0,0,0,0,0,0,0
1,DEXE,0,0,0,0,1,1,0,0,0,0
1,ATA,0,0,0,0,1,1,0,0,0,0
1,BETH,0,0,1,0,0,0,0,0,0,0
1,FLOCK,0,0,0,0,0,0,1,0,0,0
1,VARA,1,0,0,0,0,0,0,0,0,0
1,BAKE,0,0,0,0,1,1,0,0,0,0
1,TLM,0,0,0,0,1,1,0,0,0,0
1,TKO,0,0,0,0,1,0,0,0,0,0
1,AIDOGE,0,0,1,0,0,0,0,0,0,0
1,PRIME,1,0,0,0,0,0,0,0,0,0
1,RARI,1,0,0,0,0,0,0,0,0,0
1,DEGO,0,0,0,0,1,1,0,0,0,0
1,MANTLE,1,0,0,0,0,0,0,0,0,0
1,AIOZ,1,0,0,0,0,0,0,0,0,0
1,LCX,1,0,0,0,0,0,0,0,0,0
1,OKB,0,0,1,0,0,0,0,0,0,0
1,FAI,1,0,0,0,0,0,0,0,0,0
1,DODO,0,0,0,0,1,0,0,0,0,0
1,SFP,0,0,0,0,1,1,0,0,0,0
1,AURORA,1,0,0,0,0,0,0,0,0,0
1,TWT,0,0,0,0,1,1,0,0,0,0
1,ZEUS,0,0,1,0,0,0,0,0,0,0
1,ZENT,0,0,1,0,0,0,0,0,0,0
1,ZBCN,0,0,1,0,0,0,0,0,0,0
1,KEYCAT,1,0,0,0,0,0,0,0,0,0
1,POLS,1,0,0,0,0,0,0,0,0,0
1,RIF,0,0,0,0,1,1,0,0,0,0
1,XCH,0,0,1,0,0,0,0,0,0,0
1,ASR,0,0,0,0,1,1,0,0,0,0
1,OG,0,0,0,0,1,1,0,0,0,0
1,WELL,1,0,0,0,0,0,0,0,0,0
1,AFC,0,0,0,0,0,0,1,0,0,0
1,VRA,0,0,1,0,0,0,0,0,0,0
1,HNT,1,0,0,0,0,0,0,0,0,0
1,XYO,1,0,0,0,0,0,0,0,0,0
1,ULTI,0,0,1,0,0,0,0,0,0,0
1,GRS,0,0,0,0,0,0,1,0,0,0
1,ALEO,1,0,0,0,0,0,0,0,0,0
1,PAX,1,0,0,0,0,0,0,0,0,0
1,TRA,0,0,1,0,0,0,0,0,0,0
1,NAP,0,0,0,0,0,0,1,0,0,0
1,L3,1,0,0,0,0,0,0,0,0,0
1,SWEAT,0,0,1,0,0,0,0,0,0,0
1,TT,0,0,0,0,0,0,1,0,0,0
1,STETH,0,0,1,0,0,0,0,0,0,0
